,comment,survey
0,1,"It is very easy to do exploratory computing, but not so easy to persist results. I work in computational quantum physics, and in my ""old"" workflows, e.g., with Fortran codes, the computation and analysis were usually well-separated: The results from (potentially long-running) simulations were saved as text files, and then analyzed/plotted with, e.g., gnuplot.  Jupyter Notebook makes this more convenient by allowing me combine simulation and analysis in a single notebook without the intermediate step of saving text files and reading the data again. However, this also makes it much easier to ""lose"" results that only ever existed as data, but were not written to files. Going back to writing text files for all of the possibly interesting output would be a step back regarding the interactivity, so an easy way to save program state or something similar would be great. I realize this is not directly within the scope of the Jupyter Notebook, as it corresponds to a general persistence solution for Python, but it's definitely a pain point that is made more relevant by the dynamic nature of the Notebook."
1,1,"IDE capabilities: debugging UI, refactorings,..."
2,1,Hub support for Windows. Better kernel reliability on Windows.
3,1,"Improved workflow to create reports with it. Just being able to cite papers from a bibtex file, spellchecking, reordering of chapters would be nice."
4,1,Documentation on how to use scripts at launch like before and configure the thing.  
5,1,"I'm part of an analytic team that frequently works with sensitive data like medical data covered by HIPAA. Jupyter Hub might be ideal for us except that our IT management is unsure of its applicability in a secure setting. It might also need additional features related to user workspaces, definition of projects and analytic teams, and user-defined data and workbook sharing between projects and teams. "
6,1,"I want Jupyter to act like a normal text editor app in which I can easily open files, without the hassle of starting it from the console in the right place. Simple double click opening for all ipynbs please "
7,1,"Give notebooks more editors/ide functionnality: easier file browsing, editing, serach and replace..."
8,1,"I haven't worked out how to integrate storing notebooks into my normal workflow. Do I store notebooks in the directory struction with my other data/notebooks.  How do I ensure that, by default, the output is visilble to non-notebook users. Do I end up with lots of notebook servers in different directories"
9,1,I am studying Jupyter Notebook at the college and I see that it will be very usefull to me at work.
10,1,No standardised solution for version control (I think there are a few ad-hoc tools out there at present but would rather learn/use something with momentum behind it).  Unexpected scrolling between cells when move cursor/focus or execute a cell (particularly when using Firefox and when have large cells).  Difficult to keep on top of API changes and developments in associated components e.g. widgets; ipython-dev and jupyter mailing lists can help here but useful info tends to get rather buried amongst things pertaining only to dedicated developers (and sysadmins interested in jupyterhub configs).  (I still love the project to bits though :-))
11,1,I use the notebook for prototyping python code. I would love the ability to live-edit a module in one cell and interact with it in others.
12,1,"It doesn't do SAS,  which is about half my work, the other half is Python. "
13,1,"The one dimensional interface.  It seems designed to be a single document rather than an complete interface. If you think about other powerful and ubiquitous software platforms, like Adobe Illustrator or Matlab, they often are designed around panels that expose useful information or interaction.  For example, an editor, variable browser, command line, etc.  I wish there were also multiple views within the Jupyter Notebook."
14,1,I would appreciate to be also able to launch ipython notebook in a separate gui than the browser.
15,1,"I don't actually use it for work, but for classes. If I did, thought, Jupyter would prove itself a great tool."
16,1,"better connections to external DBs, easier interact widgets."
17,1,already a part of my workflow. Being able to convert from notebook to script is very important but I wish I could just run my notebook in production mode.
18,1,"Sharing results in something like excel, which is still the de facto among our analysts, is sometimes difficult. "
19,1,static checking of code (ala pyflakes)  better integration with version control  better editor inside the code blocks
20,1,"My work group lives and breathes in Excel, so once we move a lot of our data into a more usable format than SAP, we might be able to do in a notebook setting"
21,1,"I prefer developing in a full IDE, like PyCharm."
22,1,I don't use Python often enough
23,1,It doesn't work well with standard version control tools because one line of code doesn't correspond to one line in the notebook file  It throws away 30 years of text editor development by replacing a real editor like vim or emacs with a HTML text area.
24,1,"I'd like to use the jupyterhub with my colleagues but it is available only on linux and we live, unfortunately, in a win environment "
25,1,"Nothing, it's just not always the appropriate tool."
26,1,"I prefer to use a real editor (vim, emacs) and a terminal for my Python scripts, not small boxes."
27,1,"It's not as nice an 'editor' as a 'proper' programmers text editor (such as Emacs, Sublime, Atom etc).  It can be tricky to scroll up and down and deal with large cells with lots of code.  It's difficult to run an IPython Notebook server that has support for both Py2 and Py3 kernels - ideally, there should be some way to integrate with conda so that you can easily start kernels in any conda environment.  Similarly, I often end up with multiple 'ipython notebook' commands (from the Terminal) running at once, as I want them to be in multiple different directories and in multiple conda environments. Combining this with the previous point: it'd be great if I could have it running as a service (or something similar), and then could just easily create a kernel from any conda environment, and navigate to the right folder - and have it all 'just work' without having to run new servers all the time"
28,1,Collaboration and versionning capabilities 
29,1,I don't have the time. I don't use it at work.
30,1,Support for multiple kernels (especially other languages) is super. Getting it to work is still buggy. The Conda distribution is getting better and better.
31,1,IMO Jupyter is still publication tool rather then programming tool.  (Databricks notebooks look better).  I would prefer way how to better roll up code.
32,1,"A few very minor things cause some issues.  If I could auto-add a title when I create the notebook, or if I could mandate being prompted for one, that would be nice.  Additionally, since I am often developing libraries with C components which can't be reloaded (i.e., yt), it can be cumbersome to do repeated, rapid testing in the notebook.  (I haven't yet upgraded to the new version that has this.)  One last thing would be easier integration of modules for things like storing of notebooks (i.e., bookstore) into a given profile."
33,1,A console is usually faster for what I need
34,1,"- full(er) latex support including cross references for figs, eqns, etc.  - a pure text format for version control / diffs and to allow working from text editor (I strongly dislike working in browser) - ability to output to PDF or a nice printable format - something like nbviewer but allowing execution of code (or like jupyterhub but without manual uploading) - better default styling or easier customization - better widget (animations) support"
35,1,"Javascript, D3 support"
36,1,"Nothing, the ability to combine data analysis and reporting (to .pdf) in a single document is perfect."
37,1,"It's really good for annotated code and analysis, but it is not the best if all I want is to take regular notes. I understand that's not its main purpose and I'm suggesting it should be. "
38,1,I only very recently figured out how to save Jupyter Notebooks in different places (I navigate to my working directory before typing ipython notebook in the command line). Not having flexibility was a major *perceived* hinderance and could be a good thing to address in the documentation for newbies??
39,1,more emacs bindings or more shortcuts that are intuitive
40,1,Need search/find (4.1 when available) Need diff tool for Notebooks 
41,1,I use it for hobby projects and only rarely at work. For scientific hobby prokects I use it extensively.
42,1,I use it extensively for hobby projects and almost never at work.
43,1,"Lack of fully-fledged support for authoring.  Compare to the knitr / Sweave model that is fully integrated into the RStudio editor, with support for authoring publication-ready journal pdfs (code chunk options, caching, inline code blocks, tight integration with templates for LaTeX, html, html5-slideshows, etc).  "
44,1,"I prefer to work in the terminal. Sometimes I pull it up because I need better multiline editing. Rarely I will use it to author a notebook for external consumption (not because it isn't good for that, but just because I don't really need that that often). "
45,1,Much of my work involves collaborating on development and maintenance of large existing applications.
46,1,"The inability to easily print results as they are seen on the notebook. Especially for my students, having to install LaTex or print from an HTML file is far too difficult just to print out what looks so nice on the screen. In addition, the LaTex looks nothing like the original (with good reason), and this makes it much harder to get what I see into my hand."
47,1,Easy integration with git
48,1,"I would like a better way to export to different report formats.  For instance, RStudio has a great way to ""Create Report"" which opens R markdown file that is pre-loaded with defaults for MS Word, HTML, etc.  Even after trying nbconvert I am not too satisfied with this aspect of Jupyter."
49,1,"Editing files with large amounts of code is still best done in a text editor, though progress has been made on that front."
50,1,"Shortcut bindings. I'm most productive in vim, the shortcuts in the notebook just don't feel as fluid. Probably isn't a problem that's solvable, but someone might have a nice solution."
51,1,"I would like a way to connect an ipython terminal to the same kernel that backs the notebook.  Sometimes I want to test code before putting it in a cell and other times I want to build up code incrementally, inspecting the results.   A terminal that opened at the bottom of the screen would be nice. (maybe split the space vertically with the documentation browser) "
52,1,I prefer running R in Emacs.
53,1,No smarter way of storing notes/no obvious hyracki 
54,1,"Primarily use R, Rstudio is better for R."
55,1,- Difficulty in maintaining emacs-like editing capabilities  
56,1,"* a ""clear and run all"" button to get rid of variable persistence (possible with Kernel > Clear all then run but that's more clicks) * a IPython notebook .app -- it'd be really nice to double click on a notebook and have it open"
57,1,"Nothing, it is a joy and I use it whenever I can."
58,1,"Easier version control would be great. I tend to have a bunch of copies of notebooks with different dates, which gets cumbersome. I also would like some tools to filter the directory interface and remove files that cannot be opened by jupyter. "
59,1,"The fact that sometimes I need to scroll back and forth a lot between two cells. It would be great if they're was an option to set a cell layout, e. g. two columns of just the super comments in markdown would be great to have "
60,1,It has to be served. I want ipython notebooks to work when I click the file in file explorer
61,1,The lack of facilities for code re-use. I know there are hacks for importing between notebooks and the like but it still doesn't beat a text editor and DVCS when I want to make something that I'll import or make available on GitHub. My notebooks tend to get messy and out of order. Maybe I need to figure out a better workflow but I often feel a traditional console (i.e. qtconsole) is better (along with the aforementioned editor or IDE).
62,1,"I mostly use IPython, not the notebook feature, so this is fine as is."
63,1,I prefer vi for significant editing.
64,1,"Comprehensive and reliable undo Editing Notebook structure (move many cells at once) Structure editing, hiding subsections"
65,1,needs a dedicated cell that behaves like a shell
66,1,"It'd be nice if it could be an even better format for *doing* math, not just writing it up. Not sure exactly what that'd mean, though.  ""Graduating"" notebook code to in-a-package code is also not as seamless as it might be. If the code editor part had vim bindings and other stuff that made it good enough to be a full time editor, that'd be a huge step."
67,1,Better head switch. I m using different machines to work on the same server . I often loose previous output
68,1,Better native SQL support would mean I wouldn't need to switch to an external tool as much to write ad hoc SQL queries. 
69,1,"it would be nice if they had more tools to edit the code in the cell, for example, comment / uncomment a selected area code"
70,1,"At times I need to use other work environments (e.g. Atom) when I need other tools, e.g. non-exploratory work."
71,1,"I don't fully understand it yet.  I understand what it does and am blown away by little tricks and magic commands.  But coding is my day job and this still feels like a weird way to code.  I'd also like to use it more in teaching kids Python, but I need something like http://trinket.io/ for notebooks.  Hosting it myself is too much work."
72,1,Ease of installation greater language support.
73,1,better debugging for variables
74,1,1. Sometimes it gets very large. Feature of multiple files would be great for developers. 2. Multiple screens e.g. screen divided across 4 files.
75,1,Sharing code with people who don't use the notebook.  Editing features of eg. Sublime/Emacs.
76,1,I use it for general purpose programming and explorarory stats but not full blow stats tical modelling. Statistical software offers convenience but lacks flexibility. Eventually we could build a convenience in but it would take a while
77,1,keyboard shortcuts like vim
78,1,"On a daily basis my work tends to be quite heavy in computations (large Theano models, but not necessarily Deep-Learning related) which do not seem to work well with notebooks; my machine seem to struggle a bit more when I am working with such models in a notebook and I naively assumed there was a overhead with notebooks.  I am using it extensively though for either quick prototypes (like data explorations and snippets) or to have a polished render of my work."
79,1,supporting Perl would be handy
80,1,Seamless integration to other languages out of the box. Better version controlling for sharing work with peers. 
81,1,"Better/simple exporting tools to pdf. I use a lot of math in my notebook, and I usually need to share a pdf copy with my team, who do not use Jupyter"
82,1,I do a some Django development that requires me to use Eclipse. I wish the text editor had better python coding tools like auto-complete using tab.
83,1,The tasks that I like to do in Notebook are a more or less monthly thing. I mainly use it as a learning tool.   I use Emacs for most programming tasks. 
84,1,time ? No I really use it every day at work. (I can't use it much more!)
85,1,other work that needs to be done ;-)
86,1,I don't do a lot of the types of work Jupyter is good at. I'm mostly developing Python packages and I find the ipython console good enough for my needs there.
87,1,Predictable saving of files and version control
88,1,- Does not have variable explorer (like Spyder IDE). - Does not have a standalone desktop application (have you thought about using GitHub's Electron to develop a desktop application?)
89,1,"- Better editor (more vim-style) - Better nbconvert (Make it easier to write paper in jupyter. Right now I can't even find out how to change the title of the resulting latex document) - Better integration with Git (automatic removal of binary blobs before commiting, Maybe allowing view of diffs within notebook)"
90,1,"In part coauthors, second, the lack of some statistical routines in python, in particular methods for panel data. Third, I like to work in vim when writing code. "
91,1,The ideal setup is a way for me to use the terminal some of the times and to update a notebook in Vim and being able to see any changes I've made with git diff.
92,1,easy ruby support
93,1,lack of other editor features that are found in vim.  Standalone web applications like R's Shiny or Python Spyre.
94,1,"Everything, that distinguished it from IDE like Pycharm. But it is fine"
95,1,"Computing is but a part of my work, and prototyping in Python but a part of my computing. Other interface (emacs editing LaTeX and noweb sources) are still superior to Jupyter worksheets. Some outputs e. g. docx reports) cannot be obtained rom Jupyter."
96,1,"1. less optimal editing enviroment compared to other editor like atom and sublime. 2. once a cell is run, has to halt anything else in the same notebook. 3. support for other language like C/C++ is poor with 3rd party kernel."
97,1,"1.  Ability to HIDE CODE in the notebook. Because, when presenting work to people, I have found that they are generally not interested in looking at the code. 2. Light-weight inbuilt DICTIONARY? MS word has spoilt us!  "
98,1,"It takes too much time to create notebooks. I can edit text files very fast due to all of the support from various text editors but writing notebooks in a primitive GUI requires too many mouse clicks even with the keyboard shortcuts. The UI is missing too many basic features to allow one to create notebooks very fast, like copying/pasting from one notebook to another, etc. The notebook format is also difficult to manage with version control which makes them a pain to see the differences. The fact that both the code that generates the content and the generated content live in the same file is problematic. Separation of content and presentation could be very beneficial."
99,1,Convincing colleagues
100,1,More advance editing figures. I'd love plugins implementing vim/emacs commands within each cell.
101,1,Editable variable view like spyder
102,1,Proper export tools (mostly PDF or slide shows)
103,1,Would like to use it like an app. Opening a terminal window and a separate browser window is a bit of a schlep. 
104,1,"Frankly, I'm not a fan of browser-based tools. Jupyter Notebooks are great for teaching, but I find that being browser-based is a huge hindrance for data exploration and exploratory programming.  In a nutshell, any web-based interface feels much slower than a similar console-based interface, and I personally think they slow down experimentation.  For that reason, I tend to use an IPython console extensively for day-to-day work and only use a Jupyter Notebook when I'm developing tutorials or similar documents.  Keep in mind that this is purely a personal preference.  Notebooks are a great communication tool, and Jupyter is an absolutely fabulous implementation, but they aren't a good fit for rapid experimentation, in my opinion."
105,1,Most of the time I prefer working with the ipython shell directly.  I use the notebook when I intend to share with others. 
106,1,Intermittent network connections Better interactive plotting would be useful
107,1,"The programs I write are mostly algorithms processing human movement data. These algorithms are slightly too long for the Notebook (200-300 lines). I also usually have to rewrite the algorithm many times. The notebook does not support this workflow very well, as I end up running Cell -> Run All very often, and editing cells at the top of the notebook. "
108,1,"It does not hinder ME, but I would like a simple way to set up JupyterHub, so that others can *just use it*."
109,1,"It's already the central part of my workflow, but Fortran support would be great. "
110,1,"I use Spark in my day job, it would be awesome to have a Notebook manage jobs on a cluster. This may be possible, but it's easy-enough (or widely-used enough) to have become a part of my work."
111,1,"Great, easy to use documentation.  Particularly, a cookbook style compilation of how to best use it for a variety of use cases would be much appreciated."
112,1,"it is not a universal tool. Sometimes I need to build more flexible websites than is possible today, or I need to build a backend service."
113,1,Collaborators who insist on using legacy platforms like MATLAB.
114,1,"Post mortem Debugging, Better Debugging in general"
115,1,no 'undo' no proper Git integration too much scrolling necessary for large notebooks
116,1,Notebooks aren't suitable for every task -- writing library/package code for example.
117,1,"I'd love to have more interactive widgets. I have to annotate a lot of volumetric data and I'd love to be able to draw bounding boxes or drag polygons inside a notebook widget. Also better support for viewing 3D meshes and other data would be great, but not really something  that the Jupyter team should be solving"
118,1,"The usability in terms of keyboard-only usage could improve. I often have to utilize the mouse (eg. activate an input field). It would be great to get really good hints on what shortcuts are available that are visible during everyday use (eg. underlined characters in the menus) and not only when opening an extra cheat sheet (like it is today). You can only learn the shortcuts, if you see them regularly.  Additionally, the help integration for the programming language I'm using and also additional libs could get better. In times it's really frustrating to search for some function syntax. The SHIFT-TAB stuff is a good start, still I'd like get more and better layouted help. "
119,1,"Support for more languages. The kernels are note easy to install, nor behind a corporate proxy. Should just be an EXE like Beaker Notebook"
120,1,i mostly write postgres sql so if you supported that as a language then I would use it more.
121,1,Language integration with Lua. Multi-user accounts. Better organization of work (I combine links to Jupyter notebooks with Evernote documents to document work)
122,1,It should be less of a document and more of a dynamic display.
123,1,Text editing ability closer to sublime (multiple selection)
124,1,I wish the notebook style was more easy to use (Mathematica style)
125,1,"Would be great to have advanced editor keyboard shortcuts like e.g. sublime text or atom.  Would also love an easy way to ""push"" code from cells to external files so they can be edited by an external text editor. This is both for editing, and to hide complexity and boilerplate initialization used across notebooks.  I've sometimes found it a little difficult maintaining a suite of notebooks that all rely on common code."
126,1,Better dashboards! 
127,1,"This frequency of usage makes it a regular part of my workflow. I actually need to use it less :) as many scripting tasks would almost better be done in Sublime Text with its more advanced editing tools. I still revert to the Notebook for the increase,entail workflow that I really love.  Having said that, there are pain points -- my first experience of widgets was clunky and improving them would be a focal issue for my regular use in the future. "
128,1,Better haskell support.
129,1,"Python's shortcomings.  The GIL is murder sometimes.  Ease of sharing results with colleagues--both in terms of format, and in terms of lowering the cognitive costs of understanding how the notebook actually works. Consider some different visual cues to delineate code from markdown even more than it is already (I enable line numbering, and that seems to work pretty well.)"
130,1,Browser requirements. Exporting files and saving images. 
131,1,"The interface isn't the best. It would be good to have full-width textboxes when the window is maximized, and to not have to scroll down every time you re-display a graphic in the last cell."
132,1,I don't need it for work by nature. I'm using it to learn and for some side projects and I don't always have time to work on them
133,1,Would prefer a native application on iOS and MacOS X. The QT version is ok but suffers from not being a native toolkit. Web Browser version is usable but lacks the flow and system integration that comes with a native application.   iOS is becoming more important as a large part of my workflow is done away from my desk using that platform.   
134,1,If it had a simpler UI it would be better.
135,1,It's a bit less convenient to use than the IPython command line shell for some use cases.
136,1,It is more of a notebook but it would be nice if it acted almost like an IDE for project-management.  Being able to run multiple modules or pages that link together in the same instance to help break up the notebook page into manageable chunks then a means to pull it all together into a final cohesive program would be quite useful.
137,1,Better performance with large noteboooks / notebooks containing large images
138,1,"moving code from a notebook to my IDE. It would be great if I were able to highlight multiple cells and ""copy code content"""
139,1,Need better support for themes - I prefer dark backgrounds for coding.   I got my setup working on my work computer by changing existing theme files. Repeating it on my personal machine seems too cumbersome to do again.  This is something I have heard from another friend who I got excited about jupyter.
140,1,"Navigation in large notebooks. I think some automatic table-of-contents/overview mode would be very handy. Also, it would be nice to support detaching from a running notebook or run notebooks in batches. This would be really nice because contrary to a script, you can run your experiments, go to sleep and then just open the notebook to see your results and plots all inline with the code. It also helps document what exactly an experiment did since you've got the results and the code in the same file."
141,1,for work based environments is security particularly the arbitary execution of code. 
142,1,The editing capabilities such as:  - indent region  - comment block  - **multiple undo**  - undo across cells
143,1,"Exporting 'finished' reports is one aspect. Yes, there are workarounds to code it, but adding simple features that allow you to export analyzed data / diagrams / charts in high fidelity formats is very important."
144,1,"Most of my data lives in Postgres, and for exploratory work an IDE with great introspection and autocompletion is faster. "
145,1,"(I'm mostly using with python data science libs) Knowledge on how to built extension. Currently I don't know how to do this, so I'm using only for worklfows that are pretty standard."
146,1,"Excel suffices for most of my workflow, and is the primary tool that my group uses."
147,1,Don't always do work on the computer
148,1,I don't need to do this type of work more often
149,1,"When changing python modules in another editor, it would be nice if reloading them didn't need a kernel restart. Especially if they are imported as:  from x import y as z"
150,1,Working out how to better combine exploratory work in notebook combined with writing scripts/programs in an external editor for future use (especially since the editing tools in external editors are much more powerful than in notebook)
151,1,"Better report generation. I am supposed to save things in MS Word or pdf format. This is much easier with org-mode, which I also use."
152,1,"Better terminal integration, text editing features"
153,1,"I don't use it for multi-file development (where I am working on both Python modules imported from another file, and the file that imports them). I find it too cumbersome for that workflow.  I also find the non-relationship between execution ordering and visual ordering off-putting for development. When reading code in another IDE, I know the execution order is determined by the visual order in combination with the call graph. In Jupyter Notebook, since a cell below could've been executed before a cell above, the ordering now must include the numbers next to the cells; this is too many elements for me to keep track of. As a result, I tend to only use Jupyter Notebook for exploratory work (more like a REPL), and copy and paste code into a text editor as I finish with a small snippet."
154,1,"Most of what I do is pretty canned, so scripts are better ways to run things.   I use jupyter for experimentation and tests.  "
155,1,format of the notebook content.  prefer markdown
156,1,"Starting up an instance in the terminal before accessing with a browser. It's be a simple thing, but a native wrapper around Jupyter server set-up and saving would be nice."
157,1,"Maybe better integration. Right now I have to manually start the jupyter server and browse to the folder where I want to save the notebook, and that takes energy."
158,1,"While writing individual scripts, it is fairly easy to split them apart into smaller interoperable units by cutting and pasting and imports and the like.  I've noticed that my notebooks tend to become a little overwhelming, and there is just enough of a barrier to extracting parts of the notebook amongst multiple cells into a script to keep me turning to the console ipython most of the time for initial investigations."
159,1,"Would like a mode for notebooks (a la read-only) where the default setting is to not modify the existing notebook, only to save a new one. Helpful when sharing a demo notebook via a git repo"
